text,label
"Study chapter 3 of mathematics today","reading"
"Math exam on Friday","exam"
"Submit history paper on the 20th","assignment"
"Read biology article by tomorrow","reading"
"Complete physics exercise list by Tuesday","exercise"
"Prepare geography presentation for next week","assignment"
"Final chemistry exam on the 15th","exam"
"Read chapter 5 of the literature book","reading"
"Submit science project next Monday","project"
"Review history class notes tonight","reading"
"Do math review exercises","exercise"
"Write Portuguese essay by Friday","assignment"
"Surprise English test tomorrow","exam"
"Read article about the Industrial Revolution","reading"
"Finish geography model by the 10th","project"
"Complete calculus problem set 3 by Sunday","exercise"
"Submit physics lab report","assignment"
"Biology exam next Wednesday","exam"
"Read chapters 1 and 2 of sociology","reading"
"Do English grammar exercises","exercise"
"Submit philosophy seminar on Friday","assignment"
"History midterm exam on the 30th","exam"
"Read photosynthesis text for tomorrow","reading"
"Complete organic chemistry exercises","exercise"
"Submit group art project","assignment"
"Writing exam next week","exam"
"Read chapter 10 of financial mathematics","reading"
"Complete statistics exercise list","exercise"
"Submit final programming project","project"
"Review physics content for mock exam","reading"
"Read chapter 2 of the psychology textbook","reading"
"Submit economics case study by Monday","assignment"
"Computer science quiz on Thursday","exam"
"Complete algebra homework set 4","exercise"
"Prepare slides for marketing presentation","assignment"
"Read research paper on climate change","reading"
"Submit engineering design project","project"
"Chemistry quiz tomorrow morning","exam"
"Finish English literature essay","assignment"
"Do geometry practice problems","exercise"
"Read chapter 8 of world history","reading"
"Submit biology poster project","project"
"Physics exam next Friday","exam"
"Complete statistics worksheet","exercise"
"Write reflection paper for philosophy","assignment"
"Read article on machine learning basics","reading"
"Submit robotics final project","project"
"Take Spanish vocabulary quiz on Tuesday","exam"
"Complete chemistry lab questions","exercise"
"Read chapter 6 of the economics book","reading"
"Spanish vocabulary quiz on Tuesday","quiz"
"Chemistry quiz tomorrow morning","quiz"
"Computer science quiz on Thursday","quiz"
"Take English grammar quiz next week","quiz"
"Math pop quiz today","quiz"
"Biology quiz on Friday","quiz"
"History chapter 4 quiz tomorrow","quiz"
"Geography quiz next Monday","quiz"
"Physics quick quiz this afternoon","quiz"
"Economics quiz on the 12th","quiz"
"Short literature quiz today","quiz"
"Statistics quiz next Wednesday","quiz"
"Philosophy quiz on the 20th","quiz"
"Psychology quiz next Thursday","quiz"

